country,country_name,country_id,year,family,seat_share,cabinet_share
AUS,Australia,33,1931,lib,0,0
AUS,Australia,33,1931,other,5.3,0
AUS,Australia,33,1931,right,18.4,0
AUS,Australia,33,1931,soc,61.8,100
AUS,Australia,33,1932,agr,0,0
AUS,Australia,33,1932,chr,0,0
AUS,Australia,33,1932,com,0,0
AUS,Australia,33,1932,con,65.8,0
AUS,Australia,33,1932,eco,0,0
AUS,Australia,33,1932,lib,7.9,0
AUS,Australia,33,1932,other,1.3,0
AUS,Australia,33,1932,right,0,0
AUS,Australia,33,1932,soc,25,100
AUS,Australia,33,1933,agr,0,0
AUS,Australia,33,1933,chr,0,0
AUS,Australia,33,1933,com,0,0
AUS,Australia,33,1933,con,65.8,100
AUS,Australia,33,1933,eco,0,0
AUS,Australia,33,1933,lib,7.9,0
AUS,Australia,33,1933,other,1.3,0
AUS,Australia,33,1933,right,0,0
AUS,Australia,33,1933,soc,25,0
AUS,Australia,33,1934,agr,0,0
AUS,Australia,33,1934,chr,0,0
AUS,Australia,33,1934,com,0,0
AUS,Australia,33,1934,con,65.8,100
AUS,Australia,33,1934,eco,0,0
AUS,Australia,33,1934,lib,7.9,0
AUS,Australia,33,1934,other,1.3,0
AUS,Australia,33,1934,right,0,0
AUS,Australia,33,1934,soc,25,0
AUS,Australia,33,1935,agr,0,0
AUS,Australia,33,1935,chr,0,0
AUS,Australia,33,1935,com,0,0
AUS,Australia,33,1935,con,56,100
AUS,Australia,33,1935,eco,0,0
AUS,Australia,33,1935,lib,0,0
AUS,Australia,33,1935,other,1.3,0
AUS,Australia,33,1935,right,0,0
AUS,Australia,33,1935,soc,42.7,0
AUS,Australia,33,1936,agr,0,0
AUS,Australia,33,1936,chr,0,0
AUS,Australia,33,1936,com,0,0
AUS,Australia,33,1936,con,56,100
AUS,Australia,33,1936,eco,0,0
AUS,Australia,33,1936,lib,0,0
AUS,Australia,33,1936,other,1.3,0
AUS,Australia,33,1936,right,0,0
AUS,Australia,33,1936,soc,42.7,0
AUS,Australia,33,1937,agr,0,0
AUS,Australia,33,1937,chr,0,0
AUS,Australia,33,1937,com,0,0
AUS,Australia,33,1937,con,56,100
AUS,Australia,33,1937,eco,0,0
AUS,Australia,33,1937,lib,0,0
AUS,Australia,33,1937,other,1.3,0
AUS,Australia,33,1937,right,0,0
AUS,Australia,33,1937,soc,42.7,0
AUS,Australia,33,1938,agr,0,0
AUS,Australia,33,1938,chr,0,0
AUS,Australia,33,1938,com,0,0
AUS,Australia,33,1938,con,57.3,100
AUS,Australia,33,1938,eco,0,0
AUS,Australia,33,1938,lib,0,0
AUS,Australia,33,1938,other,4,0
AUS,Australia,33,1938,right,0,0
AUS,Australia,33,1938,soc,38.7,0
