id,country,name_short,name,name_english
3406,34,BDP,Baris ve Demokrasi Partisi,Peace and Democracy Party
3501,35,DNA,Det norske Arbeiderparti,Norwegian Labour Party
3502,35,FrP,Fremskrittspartiet,Progress Party
3503,35,H,Hoyre,Conservative Party
3504,35,SV,Sosialistisk Venstreparti,Socialist Left Party
3505,35,Sp,Senterpartiet,Centre Party
3506,35,KrF,Kristelig Folkeparti,Christian Democratic Party
3507,35,V,Venstre,Liberal Party
3601,36,SVP/UDC,,Swiss People's Party
3602,36,SPS/PSS,,Social Democratic Party
3603,36,FDP/PLR,,The Liberals
3604,36,CVP/PVC,,Christian Dem People's Party
3605,36,GPS/PES,,Green Party
3606,36,GLP/PVL,,Green Liberal Party
3607,36,EVP/PEV,,Evangelical People's Party
3608,36,EDU/UDF,,Federal Democratic Union
3609,36,PdA/PST-POP,,Swiss Party of Labour
3610,36,LdT,,Ticino League
3611,36,CSP/PCS,,Christian Social Party
3612,36,BDP,,Conservative Democratic Party
