party_id,left_right,state_market,liberty_authority,eu_anti_pro,calculation_date
311,3.1183,2.6251,3.7107,7.8314,2022-04-29 20:33:46
313,7.19,7.77,4.02,9.225,2022-04-29 20:33:46
316,9.386,3.1579,7.6842,1.8421,2022-04-29 20:33:46
317,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
318,3.6252,3.353,3.1071,7.1292,2022-04-29 20:33:46
319,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
321,,,,,2022-04-29 20:33:46
322,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
323,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
325,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
326,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
329,3.8377,2.8138,5.2851,5.7263,2022-04-29 20:33:46
332,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
334,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
335,4.2,3.6667,6.25,7.0833,2022-04-29 20:33:46
336,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
339,,,,,2022-04-29 20:33:46
341,3.3,3.5,3.5,8.3333,2022-04-29 20:33:46
342,1.6,2.5,1.8,5.0,2022-04-29 20:33:46
345,4.5066,4.9917,1.7625,8.6233,2022-04-29 20:33:46
349,,,,,2022-04-29 20:33:46
351,8.7595,7.5,5.5388,6.119,2022-04-29 20:33:46
353,5.5263,5.7895,5.9398,8.9474,2022-04-29 20:33:46
354,3.0194,2.6316,3.5,,2022-04-29 20:33:46
356,6.29,6.71,4.43,9.7667,2022-04-29 20:33:46
357,1.3682,1.0421,4.2099,2.5049,2022-04-29 20:33:46
358,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
360,3.7895,3.2632,4.6316,,2022-04-29 20:33:46
363,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
364,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
366,6.2,5.7,7.1,6.6667,2022-04-29 20:33:46
367,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
368,5.0552,5.3509,3.4615,,2022-04-29 20:33:46
369,5.5556,5.7,7.1,8.3,2022-04-29 20:33:46
370,4.85,4.86,4.43,8.725,2022-04-29 20:33:46
373,8.0871,4.9559,8.8366,4.3389,2022-04-29 20:33:46
374,8.8,5.9,8.5,,2022-04-29 20:33:46
375,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
376,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
379,3.3,3.5,3.5,5.0,2022-04-29 20:33:46
380,4.6,3.8,2.6,7.3333,2022-04-29 20:33:46
382,2.6216,2.9825,2.0943,7.834,2022-04-29 20:33:46
383,9.8,2.25,8.6,1.0,2022-04-29 20:33:46
384,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
385,,,,,2022-04-29 20:33:46
386,8.1579,5.3008,7.9649,,2022-04-29 20:33:46
387,1.3,1.4,3.0,,2022-04-29 20:33:46
390,1.3,1.4,3.0,,2022-04-29 20:33:46
393,3.3,3.5,3.5,,2022-04-29 20:33:46
395,3.5595,3.5454,4.2417,8.621,2022-04-29 20:33:46
397,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
399,5.285,4.61,7.195,8.3833,2022-04-29 20:33:46
401,3.9896,4.1676,4.2381,7.9361,2022-04-29 20:33:46
402,3.8433,3.9133,3.5288,8.4641,2022-04-29 20:33:46
403,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
404,5.67,5.89,5.14,1.5167,2022-04-29 20:33:46
405,5.8067,5.6933,6.7724,8.2894,2022-04-29 20:33:46
406,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
407,,,,,2022-04-29 20:33:46
408,8.6587,4.0081,9.4332,2.0078,2022-04-29 20:33:46
409,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
411,,,,,2022-04-29 20:33:46
412,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
417,4.5812,4.8509,6.9474,6.0627,2022-04-29 20:33:46
418,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
419,5.3875,5.1868,3.9647,9.5309,2022-04-29 20:33:46
421,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
423,6.1111,5.7,7.1,8.3,2022-04-29 20:33:46
424,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
425,,,,,2022-04-29 20:33:46
426,,,,,2022-04-29 20:33:46
427,6.2,5.7,7.1,5.8333,2022-04-29 20:33:46
428,8.4962,8.2456,6.1053,9.2632,2022-04-29 20:33:46
432,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
433,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
434,7.4,2.17,8.33,5.8333,2022-04-29 20:33:46
436,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
437,6.5432,3.9949,7.5275,6.6143,2022-04-29 20:33:46
438,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
439,5.5717,5.06,4.1541,,2022-04-29 20:33:46
440,8.1444,5.7,7.1,8.3,2022-04-29 20:33:46
441,,,,,2022-04-29 20:33:46
442,0.0714,0.2143,6.0,0.4762,2022-04-29 20:33:46
443,6.0417,5.7273,5.875,8.8769,2022-04-29 20:33:46
445,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
446,7.4,6.4,6.9,,2022-04-29 20:33:46
448,3.0215,3.1207,2.2063,,2022-04-29 20:33:46
450,3.3333,3.5,3.5,8.1,2022-04-29 20:33:46
451,5.9473,5.8848,6.6882,7.7157,2022-04-29 20:33:46
453,,,,,2022-04-29 20:33:46
454,6.8551,7.2667,4.4381,9.0856,2022-04-29 20:33:46
456,8.5609,8.0776,4.7759,2.5798,2022-04-29 20:33:46
457,0.5263,0.8772,1.0526,,2022-04-29 20:33:46
458,7.2961,8.477,4.2441,7.6667,2022-04-29 20:33:46
460,2.6,3.5,3.5,8.1,2022-04-29 20:33:46
462,7.4,6.4,6.9,,2022-04-29 20:33:46
463,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
465,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
466,5.2632,5.3947,6.1184,6.7763,2022-04-29 20:33:46
467,2.57,2.3775,2.0139,4.9858,2022-04-29 20:33:46
470,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
473,,,,,2022-04-29 20:33:46
474,,,,,2022-04-29 20:33:46
475,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
482,7.7562,8.2271,2.8532,9.2244,2022-04-29 20:33:46
486,7.2222,6.7,3.6,8.7,2022-04-29 20:33:46
487,6.45,6.7,3.6,7.5,2022-04-29 20:33:46
488,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
489,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
491,6.0,6.7,3.6,,2022-04-29 20:33:46
493,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
500,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
501,6.5321,5.8809,6.06,6.4243,2022-04-29 20:33:46
502,5.75,4.5,8.0,6.0,2022-04-29 20:33:46
506,6.2201,5.5981,3.0,,2022-04-29 20:33:46
507,3.2661,2.8138,4.6154,7.3887,2022-04-29 20:33:46
509,6.1017,6.2021,5.4999,8.8995,2022-04-29 20:33:46
512,6.2355,8.236,3.7102,9.3705,2022-04-29 20:33:46
514,2.1754,1.6343,1.6291,2.0461,2022-04-29 20:33:46
516,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
519,3.3333,3.5,3.5,8.1,2022-04-29 20:33:46
520,2.9117,2.81,2.9378,6.6096,2022-04-29 20:33:46
521,8.2588,6.4433,7.4251,7.0102,2022-04-29 20:33:46
523,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
524,9.2752,6.1901,9.3871,0.941,2022-04-29 20:33:46
526,6.125,7.165,4.835,10.0,2022-04-29 20:33:46
527,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
528,7.6997,4.0466,8.2514,5.4813,2022-04-29 20:33:46
529,5.3,4.9,6.5,5.4,2022-04-29 20:33:46
531,4.7288,5.6421,7.1414,6.3386,2022-04-29 20:33:46
534,,,,,2022-04-29 20:33:46
535,5.46,3.25,9.17,2.4333,2022-04-29 20:33:46
538,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
542,9.4444,5.7,7.1,8.3,2022-04-29 20:33:46
543,5.9233,8.2173,3.0695,8.4855,2022-04-29 20:33:46
544,5.7567,5.8948,4.008,9.3468,2022-04-29 20:33:46
546,6.4826,5.0761,6.8263,8.4922,2022-04-29 20:33:46
547,8.2556,6.4,6.9,,2022-04-29 20:33:46
548,5.8333,5.9,8.5,2.3,2022-04-29 20:33:46
550,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
551,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
552,7.7778,6.4,6.9,7.9,2022-04-29 20:33:46
556,1.3,1.4,3.0,,2022-04-29 20:33:46
557,1.6425,1.9526,1.267,3.7018,2022-04-29 20:33:46
558,3.6451,3.8443,3.9791,7.9318,2022-04-29 20:33:46
559,6.5005,6.0172,6.1761,9.3803,2022-04-29 20:33:46
562,5.5556,1.4,3.0,3.3,2022-04-29 20:33:46
564,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
565,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
566,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
569,2.5,2.5,1.8,2.5,2022-04-29 20:33:46
572,1.0526,2.6316,6.1842,,2022-04-29 20:33:46
574,4.1667,6.7,3.6,8.7,2022-04-29 20:33:46
581,3.86,4.29,5.8,8.5667,2022-04-29 20:33:46
585,6.3906,6.7295,3.8385,8.5284,2022-04-29 20:33:46
586,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
587,6.0,6.7,3.6,,2022-04-29 20:33:46
588,7.4,6.4,6.9,,2022-04-29 20:33:46
590,7.2186,7.2931,6.5055,7.7791,2022-04-29 20:33:46
596,7.1459,7.913,6.5983,5.0946,2022-04-29 20:33:46
597,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
599,6.6784,7.076,5.1974,7.6842,2022-04-29 20:33:46
600,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
601,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
602,4.9248,4.4498,7.5812,5.0504,2022-04-29 20:33:46
609,7.5789,4.7368,9.7895,1.0526,2022-04-29 20:33:46
610,,,,,2022-04-29 20:33:46
613,,,,,2022-04-29 20:33:46
614,1.253,0.8404,5.1503,0.2722,2022-04-29 20:33:46
615,2.9825,1.7053,4.349,,2022-04-29 20:33:46
617,9.0263,8.9751,3.6,,2022-04-29 20:33:46
618,5.3,4.9,6.5,5.4,2022-04-29 20:33:46
619,3.3333,4.9,6.5,5.4,2022-04-29 20:33:46
620,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
622,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
625,8.1444,5.8,8.6364,3.4848,2022-04-29 20:33:46
627,5.9067,5.1167,7.5833,8.5,2022-04-29 20:33:46
628,9.4247,6.2573,9.0409,0.2384,2022-04-29 20:33:46
629,2.8299,3.8505,1.8801,9.0872,2022-04-29 20:33:46
630,5.0317,5.9683,5.515,8.6833,2022-04-29 20:33:46
633,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
636,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
637,6.2,5.7,7.1,9.7167,2022-04-29 20:33:46
638,6.6,5.8,6.8,5.0,2022-04-29 20:33:46
640,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
645,7.5969,7.619,7.8127,7.7368,2022-04-29 20:33:46
646,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
647,5.1467,5.9148,3.2581,4.0766,2022-04-29 20:33:46
648,5.5556,5.9,8.5,2.3,2022-04-29 20:33:46
649,0.957,0.3618,2.6754,1.9649,2022-04-29 20:33:46
650,3.6389,2.5,1.8,7.6167,2022-04-29 20:33:46
651,8.0109,8.3901,3.7011,8.4528,2022-04-29 20:33:46
652,,,,,2022-04-29 20:33:46
653,5.5,4.5,4.75,5.0,2022-04-29 20:33:46
656,5.5714,5.8,5.8,9.0476,2022-04-29 20:33:46
657,7.8907,8.4089,5.6977,8.5872,2022-04-29 20:33:46
658,7.4997,6.5934,7.1854,6.9862,2022-04-29 20:33:46
659,4.2875,4.1064,2.6109,9.2231,2022-04-29 20:33:46
662,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
664,4.1856,2.8942,6.5491,5.3573,2022-04-29 20:33:46
665,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
669,4.2,5.0,3.4,2.85,2022-04-29 20:33:46
670,9.8,5.9,8.5,2.3,2022-04-29 20:33:46
671,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
674,,,,,2022-04-29 20:33:46
675,6.2385,4.258,8.6845,7.5032,2022-04-29 20:33:46
676,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
677,,,,,2022-04-29 20:33:46
678,6.6788,7.4912,6.0,,2022-04-29 20:33:46
681,,,,,2022-04-29 20:33:46
686,1.3741,1.056,4.5083,2.3595,2022-04-29 20:33:46
688,7.2204,7.5343,2.3792,9.4344,2022-04-29 20:33:46
689,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
693,4.8712,4.5664,5.5255,7.1295,2022-04-29 20:33:46
695,,,,,2022-04-29 20:33:46
696,6.2,5.7,7.1,8.3,2022-04-29 20:33:46
701,3.2895,3.9474,1.3158,,2022-04-29 20:33:46
702,4.6565,2.807,5.7644,0.188,2022-04-29 20:33:46
706,3.0637,3.8001,2.9642,8.1513,2022-04-29 20:33:46
708,1.4,1.4,3.0,4.45,2022-04-29 20:33:46
709,6.4579,5.9079,7.3618,7.5877,2022-04-29 20:33:46
710,3.3,3.5,3.5,8.1,2022-04-29 20:33:46
713,6.6618,2.1497,9.5131,4.9488,2022-04-29 20:33:46
720,2.3,1.8286,5.5493,3.6349,2022-04-29 20:33:46
721,,,,,2022-04-29 20:33:46
723,5.7667,5.5876,7.2083,8.9013,2022-04-29 20:33:46
725,4.0492,4.2716,3.5411,9.2233,2022-04-29 20:33:46
729,,,,,2022-04-29 20:33:46
732,1.3,1.4,3.0,,2022-04-29 20:33:46
733,,,,,2022-04-29 20:33:46
742,3.6118,3.868,3.2028,7.9904,2022-04-29 20:33:46
743,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
744,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
748,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
749,1.835,1.835,3.875,0.0917,2022-04-29 20:33:46
750,7.3575,8.9684,8.3385,0.6368,2022-04-29 20:33:46
751,1.5439,1.2982,0.5614,,2022-04-29 20:33:46
752,5.46,6.58,3.18,7.95,2022-04-29 20:33:46
753,,,,,2022-04-29 20:33:46
756,2.0454,2.1108,1.644,6.1973,2022-04-29 20:33:46
757,3.1072,2.9073,2.7325,7.0389,2022-04-29 20:33:46
759,6.0,6.7,3.6,8.7,2022-04-29 20:33:46
760,4.33,4.75,3.83,10.0,2022-04-29 20:33:46
761,,,,,2022-04-29 20:33:46
765,6.0,6.7,3.6,,2022-04-29 20:33:46
767,3.3,3.5,3.5,,2022-04-29 20:33:46
768,7.4,6.4,6.9,,2022-04-29 20:33:46
769,0.5,1.4,3.0,0.0,2022-04-29 20:33:46
771,,,,,2022-04-29 20:33:46
772,2.9308,4.3268,1.3251,7.6101,2022-04-29 20:33:46
773,7.4261,7.5725,7.1901,2.3243,2022-04-29 20:33:46
774,6.2,5.7,7.1,,2022-04-29 20:33:46
780,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
784,6.9611,6.917,3.8431,9.7427,2022-04-29 20:33:46
786,,,,,2022-04-29 20:33:46
788,7.0417,2.1637,9.6842,,2022-04-29 20:33:46
789,3.0463,3.0031,4.2463,8.5647,2022-04-29 20:33:46
791,1.2152,1.0617,3.205,4.3508,2022-04-29 20:33:46
792,2.5,2.5,1.8,6.5,2022-04-29 20:33:46
793,,,,,2022-04-29 20:33:46
794,6.7112,6.9659,5.997,,2022-04-29 20:33:46
795,8.8,5.9,8.5,2.3,2022-04-29 20:33:46
796,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
797,1.1111,2.5,1.8,2.5,2022-04-29 20:33:46
800,,,,,2022-04-29 20:33:46
801,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
802,7.4,6.4,6.9,7.9,2022-04-29 20:33:46
805,0.7407,2.4163,5.2322,,2022-04-29 20:33:46
806,1.3,1.4,3.0,3.3,2022-04-29 20:33:46
808,6.2503,6.3498,6.9333,8.5024,2022-04-29 20:33:46
809,2.6277,3.1839,2.5869,9.069,2022-04-29 20:33:46
811,7.7544,7.7942,6.1316,9.0205,2022-04-29 20:33:46
812,,,,,2022-04-29 20:33:46
816,7.4,6.4,6.9,,2022-04-29 20:33:46
