id,type_id,country_id,date,first_round_election_id,early,wikipedia,seats_total,electorate,votes_cast,votes_valid,data_source,description,comment,previous_parliament_election_id,previous_ep_election_id,previous_cabinet_id,old_countryID,old_parlID
48,13,35,1985-09-15,,0,"http://en.wikipedia.org/wiki/Swedish_general_election,_1985",349,6249445,5615242,5567022,yb-swe,,,175,,647,752,19850
49,13,23,1996-11-03,,0,"http://en.wikipedia.org/wiki/Romanian_general_election,_1996",343,17218654,13088388,12238746,insse,,,416,,102,642,19960
50,13,68,2006-06-03,,0,"http://en.wikipedia.org/wiki/Czech_legislative_election,_2006",200,8333305,5368495,5348976,volby,,,487,567,15,203,20060
51,13,8,1972-11-29,,1,"http://en.wikipedia.org/wiki/Dutch_general_election,_1972",150,8916947,7445287,7394045,verk,,,125,,291,528,19720
52,13,55,2006-10-07,,0,"http://en.wikipedia.org/wiki/Latvian_parliamentary_election,_2006",100,1490636,908979,901665,parline,,,260,145,535,428,20060
53,13,5,1976-12-05,,0,"http://en.wikipedia.org/wiki/Japanese_general_election,_1976",511,77926588,57231992,56612765,parline,,,333,,59,392,19760
54,1,35,1995-01-01,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1995_(Sweden)",22,,,,,,"Elections took only place later in 1995. Results reflect the initial composition of Swedish MEPs, based on the party composition of the Riksdag.",412,,528,752,1019950
55,1,35,1995-09-17,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1995_(Sweden)",22,6551781,2727317,2683151,sos,,,412,54,528,752,1019951
56,13,11,1984-07-14,,1,"http://en.wikipedia.org/wiki/New_Zealand_general_election,_1984",95,2111651,1978798,1929201,yb-nzl,,,513,,259,554,19840
57,13,5,1993-07-18,,1,"http://en.wikipedia.org/wiki/Japanese_general_election,_1993",511,94866020,63547819,62804145,parline,,,25,,253,392,19930
58,1,8,1994-06-12,,0,"http://en.wikipedia.org/wiki/European_Parliament_election,_1994_(Netherlands)",31,11618677,4146730,4133557,verk,,,570,587,148,528,1019940
59,13,15,2000-10-08,,0,"http://en.wikipedia.org/wiki/Lithuanian_parliamentary_election,_2000",141,2626321,1539743,1471247,vrk,,2000 election with plurality instead of majority run-off for majority tier of parallel system,566,,735,440,20000
60,13,37,1948-02-04,,1,"http://en.wikipedia.org/wiki/Irish_general_election,_1948",147,1800210,1336628,1323443,gall-09,,,122,,151,372,19480
62,13,8,1986-05-21,,1,"http://en.wikipedia.org/wiki/Dutch_general_election,_1986",150,10727701,9199621,9172159,verk,,,116,341,270,528,19860
63,13,68,1990-06-09,,1,"http://en.wikipedia.org/wiki/Czech_legislative_election,_1990",200,7553447,7310856,7211047,"essex, parline",,,,,,203,19900
64,13,21,1973-12-04,,1,"http://en.wikipedia.org/wiki/Danish_parliamentary_election,_1973",179,3460737,3070253,3053203,,"Early election on 13 December 1973, referred to as Landslide Election (Danish: Jordskredsvalget).",,400,,320,208,19730
65,13,26,1972-05-07,,1,"http://en.wikipedia.org/wiki/Italian_general_election,_1972",630,37049351,34532535,33403528,archivio,,,261,,398,380,19720
66,13,59,1994-10-09,,0,"http://en.wikipedia.org/wiki/Austrian_legislative_election,_1994",183,5774000,4730987,4633114,"bmi, parline","Election on 9 October 1994. 
Parliament was dissolved on 13 October 1995 after the end of the Vranitzky IV cabinet.",,325,,524,40,19940
67,13,59,1949-10-09,,0,"http://en.wikipedia.org/wiki/Austrian_legislative_election,_1949",165,4391815,4250616,4193733,"bmi, yb-aut","Election on 9 October 1949.
Parliament was dissolved on 30 October 1953 after the end of the Figl III cabinet.",,402,,884,40,19490
70,13,51,1981-05-24,,0,"http://en.wikipedia.org/wiki/Cypriot_legislative_election,_1981",35,308729,295602,291021,parline,,,528,,210,196,19810
71,13,67,1954-03-08,,1,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1954",200,2526969,2019042,2008257,"idea, tila",,,575,,738,246,19540
73,13,21,1960-11-15,,1,"http://en.wikipedia.org/wiki/Danish_parliamentary_election,_1960",179,2842336,2439936,2431947,,,,263,,467,208,19600
74,13,8,2002-05-15,,0,"http://en.wikipedia.org/wiki/Dutch_general_election,_2002",150,12035935,9515226,9501152,verk,,,372,177,749,528,20020
75,13,43,1946-11-10,,1,"http://en.wikipedia.org/wiki/French_legislative_election,_November_1946",544,25052523,19565743,19203071,mackie,"New election on 10 November 1946 for second constituent assembly.
Seats total excludes 75 seats from overseas territories.
",,348,,150,250,19461
76,13,29,1962-06-18,,0,"http://en.wikipedia.org/wiki/Canadian_federal_election,_1962",265,9700325,7772656,7699901,"ceoc, clea-11",,,286,,697,124,19620
77,13,67,1970-03-16,,0,"http://en.wikipedia.org/wiki/Finnish_parliamentary_election,_1970",200,3094359,2544510,2535782,"idea, tila",Parliament was dissolved on 29 October 1972 after the resignation of the Karjalainen III cabinet.,,460,,203,246,19700
79,13,10,2009-07-05,,0,"http://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_2009",240,7129965,4345450,4226194,cik,Election on 5 July 2009.,,618,432,425,100,20090
