id,country,name
211,21,Lëtzebuerger Sozialistesch Arbechterpartei - Luxemburgische Sozialistische Arbeiterpartei
212,21,Demokratesch Partei - Demokratische Partei
213,21,déi gréng - Die Grünen
214,21,Alternativ Demokratesch Reformpartei - Alternative Demokratische Reformpartei
215,21,déi Lénk - Die Linke
216,21,Kommunistesch Partei Lëtzebuerg - Kommunistische Partei Luxemburgs
416,21,Biergerlëscht
191,22,Latvijas Pirmā Partija/LC
192,22,Par cilvēka tiesībām vienotā Latvijā
193,22,Pilsoniskā Savienība
194,22,Sabiedrība Citai Politikai
195,22,Saskaņas centrs
196,22,Tautas Partija
197,22,Tēvzemei un Brīvībai/LNNK
198,22,Zaļo un Zemnieku Savienība
353,22,Jaunais laiks
224,23,Alternattiva Demokratika
225,23,Azzjoni Nazzjonali
226,23,Partit Laburista
227,23,Partit Nazzjonalista
293,24,Christen-Democratisch Appèl
294,24,ChristenUnie / Staatkundig Gereformeerde Partij
295,24,Democraten 1966
296,24,Liberaal Democratische Partij
297,24,GroenLinks
299,24,Partij van de Arbeid
300,24,Partij voor de Dieren
301,24,Partij voor de Vrijheid
304,24,Socialistische Partij
305,24,Volkspartij voor Vrijheid en Democratie
369,24,Newropeans
433,25,Democratic Unionist Party
434,25,Sinn Féin
435,25,Social Democratic and Labour Party
436,25,Ulster Unionist Party
228,26,Platforma Obywatelska
229,26,Polskie Stronnictwo Ludowe
230,26,Prawo i Sprawiedliwość
231,26,Sojusz Lewicy Demokratycznej - Unia Pracy
355,26,Prawica Rzeczypospolitej
382,26,Unia Polityki Realnej
383,26,Porozumienie dla Przyszłości - CentroLewica (PD+SDPL+Zieloni 2004)
384,26,Samoobrona Rzeczpospolitej Polskiej
385,26,Liga Polskich Rodzin
232,27,Bloco de Esquerda
233,27,Centro Democrático Social - Partido Popular
234,27,Coligação Democrática Unitária
235,27,Movimento Esperança Portugal
236,27,Movimento Mérito e Sociedade
237,27,Partido Comunista dos Trabalhadores Portugueses
238,27,Partido da Terra
240,27,Partido Humanista
241,27,Partido Nacional Renovador
244,27,Partido Popular Monárquico
245,27,Partido Social Democrata
246,27,Partido Socialista
248,28,Partidul Democrat Liberal
249,28,Partidul Naţional Liberal
251,28,Partidul România Mare
252,28,Partidul Social Democrat
253,28,Uniunea Democrată Maghiară din România
339,29,British National Party
340,29,Scottish Conservative and Unionist Party
341,29,Scottish Green Party
342,29,Scottish Labour Party
343,29,Scottish Liberal Democrats
344,29,Scottish National Party
345,29,UK Independence Party
277,30,Socialdemokratiska arbetarepartiet
278,30,Moderata samlingspartiet
279,30,Centerpartiet
280,30,Folkpartiet liberalerna
281,30,Miljöpartiet de Gröna
282,30,Vänsterpartiet
283,30,Kristdemokraterna
284,30,Junilistan
285,30,Sverigedemokraterna
286,30,Feministiskt initiativ
287,30,Piratpartiet
260,31,Demokratska stranka upokojencev Slovenije
261,31,Liberalna demokracija Slovenije
262,31,"Nova Slovenija, Krščansko ljudska stranka"
263,31,Slovenska demokratska stranka
264,31,Slovenska ljudska stranka
265,31,Slovenska nacionalna stranka
266,31,Socialni demokrati
267,31,"Zares, nova politika"
268,31,Stranka mladih Slovenije
254,32,Kresťanskodemokratické hnutie
255,32,Ľudová strana - Hnutie za demokratické Slovensko
256,32,Slovenská demokratická a kresťanská únia
257,32,Slovenská národná strana
258,32,SMER - Sociálna Demokracia
259,32,Strana maďarskej koalície - Magyar Koalíció Pártja
306,33,Adalet ve Kalkınma Partisi
307,33,Cumhuriyet Halk Partisi
308,33,Milliyetçi Hareket Partisi
309,33,Demokratik Toplum Partisi
310,33,Demokratik Sol Parti
311,33,Özgürlük ve Dayanışma Partisi
316,33,Saadet Partisi
317,33,Türkiye Komünist Partisi
346,34,British National Party
347,34,Green Party England & Wales
348,34,Plaid Cymru
349,34,UK Independence Party
350,34,Welsh Conservative Party
351,34,Welsh Labour Party
352,34,Welsh Liberal Democrats
