id,Country,Party,PartyName
4793,AU,ON,Pauline Hanson's One Nation
4811,AT,FPO,Freedom Party of Austria
4829,AT,Gru,The Greens
4847,AT,OVP,Austrian People's Party
4865,AT,SPO,Austrian Social Democratic Party
4883,BE,CD&V,Christian Democratic & Flemish
4903,BE,CDH,Humanist Democratic Centre
4923,BE,Eco,Ecolo
4943,BE,FN,National Front
4963,BE,Gro!,Groen!
4983,BE,MR,Reformist Movement
5003,BE,N-VA,New Flemish Alliance
5023,BE,PS,Socialist Party
5043,BE,SPSp,SP.A-Spirit
5063,BE,VB,Flemish Block
5083,BE,VLD,Flemish Liberals and Democrats
5103,UK,Con,Conservative Party
5125,UK,LD,Liberal Democrats
5147,UK,Lab,Labour Party
5169,UK,PCy,Plaid Cymru
5191,UK,SNP,Scottish National Party
5213,CA,BQ,Bloc Québécois
5233,CA,CA,Canadian Alliance
5253,CA,GPC,Green Party of Canada
5273,CA,LPC,Liberal Party of Canada
5293,CA,NDP,New Democratic Party
5313,CA,PC,Progressive Conservative Party of Canada
5333,CY,ADIK,Agonistiko Dimokratiko Kinima
5351,CY,AKEL,Anorthotikon Komma Ergazemenou Laou
5369,CY,DIKO,Dimokratikon Komma
5387,CY,DISI,Dimokratikos Sinagermos
5405,CY,EDEK,Kinima Sosialdimokraton EDEK
5423,CY,EDI,Enomeni Dimokrates
5441,CY,KOP,Kinima Oikologon Perivallontiston
5459,CY,NEO,Neoi Orizontes
5477,DK,CD,Centrumdemokraterne
5495,DK,DF,Dansk Folkeparti
5513,DK,Enh,Enhedslisten
5531,DK,FrP,Fremskridtspartiet
5549,DK,KF,Konservative Folkeparti
5567,DK,KrF,Kristeligt Folkeparti
5585,DK,RV,Radikale Venstre
5603,DK,SD,Socialdemokratiet i Danmark
5621,DK,SF,Socialistisk Folkeparti
5639,DK,V,"Venstre, Danmarks liberale parti"
5657,FI,KD,Suomen Kristillisdemokraatit
5677,FI,KESK,Suomen Keskusta
5697,FI,KOK,Kansallinen Kokoomus
5717,FI,PS,Perussuomalaiset
5737,FI,SDP,Suomen Sosialidemokraattinen Puolue
5757,FI,SFP,Svenska Folkepartiet i Finland
5777,FI,VAS,Vasemmistoliitto
5797,FI,VIHR,Vihreä Liitto
5817,FR,FN,Front National
5831,FR,MPF,Mouvement pour la France
5845,FR,PCF,Parti Communiste Francais
5859,FR,PS,Parti Socialiste
5873,FR,RPF,Rassemblement pour la France
5887,FR,RPR,Rassemblement pour la Republique
5901,FR,UDF,Union pour la Democratie Francaise
5915,FR,UEM,Union en Mouvement
5929,FR,V,Les Verts
5943,DE,CDU/C,Christian Democratic Union/Christian Social Union
5961,DE,DKP,German Communist Party
5979,DE,DVU,German People’s Union
5997,DE,FDP,Free Democratic Party
6015,DE,GRÜ,Green Party
6033,DE,NPD,National Democratic Party
6051,DE,PDS,Party of Democratic Socialism
6069,DE,Rep,Republicans
6087,DE,SPD,Social Democratic Party of Germany
6105,DE,Schil,Partei Rechtsstaatlicher Offensive
6123,GR,KKE,Kommunistiko Koma Ellados
6143,GR,ND,Nea Dimokratia
6163,GR,PASOK,Panellinio Sosialistiko Kinima
6183,GR,SYN,Synaspismos
6203,IS,X-B,Framsóknarflokkurinn
6217,IS,X-D,Sjálfstæðisflokkurinn
6231,IS,X-F,Frjáslyndi Flokkurin
6245,IS,X-N,Nytt afl
6259,IS,X-S,Samfylkingin (alliance)
6273,IS,X-U,Vinstrihreyfing - Grænt framboð
6287,IE,FF,Fianna F&aacute;il
6307,IE,FG,Fine Gael
6327,IE,GR,Greens
6347,IE,LB,Labour
6367,IE,PD,Progressive Democrats
6387,IE,SF,Sinn F&eacute;in
6407,IL,AE,Am Ekhad (One Nation)
6423,IL,Bala,Al Tahammmy al-Tatani al-Dimiqrati
6439,IL,Hada,Hazit Democratit le-Shalom ve-Shivayon
6455,IL,IHUD,IHUD LEUMI (National Unity)
6471,IL,Lab,Labor
6488,IL,Lik,Likud
6505,IL,Merz,Meretz
6522,IL,NRP,National Religious Party
6539,IL,Raam,United Arab List
6555,IL,Shas,Shas
6572,IL,Shin,Shinui
6589,IL,YhT,Yahadut HaTorah
6606,IT,AN,Alleanza Nazionale
6626,IT,DS,Democratici di Sinistra
6646,IT,FI,Forza Italia
6666,IT,Green,Federazione dei Verdi
6686,IT,It.Val.,Lista di Pietro Italia dei Valori
6706,IT,LN,Lega Nord
6726,IT,MSFT,Movimento Sociale Fiamma Tricolore
6746,IT,Marg,La Margherita
6766,IT,PDCI,Partito dei Comunisti Italiani
6786,IT,Pann,Lista Pannella Bonino
6806,IT,RC,Rifondazione Comunista
6826,IT,SDI,Socialisti Democratici Italiani
6846,IT,UDC,Unione di Centro
6866,LU,ADR,Action Comity for Democracy and Pensions Justice
6886,LU,CSV,Christian Social People's Party
6906,LU,DL,The Left
6926,LU,DP,Democratic Party
6946,LU,G,The Green
6966,LU,LSAP,Luxembourg Socialist Workers' Party
6986,MT,AD,Democratic Alternative
7004,MT,MLP,Malta Labour Party
7022,MT,NP,Nationalist Party
7040,NL,CDA,Christen Democratisch Appe`l
7060,NL,CU,ChristenUnie
7080,NL,D66,Democraten 66
7100,NL,GL,Groen Links
7120,NL,LPF,Lijst Pim Fortuyn
7140,NL,PvdA,Partij van de Arbeid
7160,NL,SGP,Staatkundig Gereformeerde Partij
7180,NL,SP,Socialistische Partij
7200,NL,VVD,Volkspartij voor Vrijheid en Democratie
7220,NZ,ACT,ACT New Zealand
7236,NZ,Allc,Alliance
7252,NZ,GPA,Green Party of Aotearoa
7268,NZ,NP,New Zealand National Party
7284,NZ,NZFP,New Zealand First Party
7300,NZ,NZLP,New Zealand Labour Party
7316,NZ,PC,Jim Anderton's Progressive Coalition
7332,NZ,UF,United Future New Zealand
7348,NI,APNI,Alliance Party of Northern Ireland
7368,NI,DUP,Democratic Unionist Party
7388,NI,NIWC,Northern Ireland Women's Coalition
7408,NI,PUP,Progressive Unionist Party
7428,NI,SDLP,Social Democratic and Labour Party
7448,NI,SF,Sinn Fein
7468,NI,UUP,Ulster Unionist Party
7488,NO,DNA,Det Norske Arbeiderparti
7506,NO,FrP,Fremskrittspartiet
7524,NO,H,Høyre
7542,NO,KrF,Kristelig Folkeparti
7560,NO,RV,Rød Valgallianse
7578,NO,SV,Sosialistisk Venstreparti
7596,NO,Sp,Senterpartiet
7614,NO,V,Venstre
7632,PT,BE,Left Block
7650,PT,CDS/PP,People's Party
7668,PT,PCP,Portuguese Communist Party
7686,PT,PEV,Ecology Party- Greens
7704,PT,PS,Socialist Party
7722,PT,PSD,Social Democratic Party
7740,ES,CiU,Convergència i Unió de Catalunya
7760,ES,IU,Izquerda Unida
7780,ES,PNV,Partido Nacionalista Vasco
7800,ES,PP,Partido Popular
7820,ES,PSOE,Partido Socialista Obrero Español
7840,SE,C,Centerpartiet
7860,SE,FP,Folkpartiet Liberalerna
7880,SE,KD,Kristdemokraterna
7900,SE,M,Moderata Samlingspartiet
7920,SE,MP,Miljöpartiet de Gröna
7940,SE,SAP,Socialdemokratiska Arbetarepartiet
7960,SE,V,Vänsterpartiet
7980,CH,CVP,Christlich-Demokratische Volkspartei der Schweiz
7996,CH,EDU,Eidgenšssische Demokratische Union
8012,CH,EVP,Evangelische Volkspartei der Schweiz
8028,CH,FDP,Freisinnig-Demokratische Partei der Schweiz
8044,CH,GPS,GrŸne Partei der Schweiz
8060,CH,LPS,Liberale Partei der Schweiz
8076,CH,PdA,Partei der Arbeit der Schweiz
8092,CH,SD,Schweizer Demokraten
8108,CH,SPS,Sozialdemokratische Partei der Schweiz
8124,CH,SVP,Schweizerische Volkspartei
8140,TR,AKP,Adalet ve Kalkinma Partisi
8162,TR,ANAP,Anavatan Partisi
8184,TR,CHP,Cumhuriyet Halk Partisi
8206,TR,DEHAP,Demokratik Halk Partisi
8228,TR,DSP,Demokratik Sol Partisi
8250,TR,DYP,Dogru Yol Partisi
8272,TR,GP,Genç Parti
8294,TR,MHP,Milliyetçi Hareket Partisi
8316,US,Dem,Democratic Party
8334,US,Rep,Republican Party
8352,JP,DP,Democratic Party
8376,JP,JCP,Japan Communist Party
8400,JP,Kom.,Komeito
8424,JP,LDP,Liberal Democratic Party
8448,JP,NCP,New Conservative Party
8472,JP,SDP,Social Democratic Party
