country_name_short,country_name,party_name_short,party_name_english,party_name,party_name_ascii,family_name_short,family_name,left_right,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id,party_id,family_id
ISR,Israel,HHT,Yemenite Association,Hitahdut HaTeimanim,Hitahdut HaTeimanim,spec,Special issue,,,,,,,,,,,,,34,1827,16
ISR,Israel,HLY,Israel Resilience Party,Hosen L'Yisrael,Hosen L'Yisrael,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2799,6
ISR,Israel,HU,Agriculture and Development,Hakla'ut Ufituah,Hakla'ut Ufituah,spec,Special issue,,,,,,,,,,,,,34,1835,16
ISR,Israel,HaLe-T,National Union--Tkuma,HaIhud HaLeumi–Tkuma,HaIhud HaLeumi--Tkuma,right,Right-wing,9.5906,5.7895,8.1474,,72624,,,,,,6455,,34,1357,40
ISR,Israel,HaMi,Mizrachi Workers,Hapoel HaMizrachi,Hapoel HaMizrachi,spec,Special issue,,,,,,,,,,,,,34,1828,16
ISR,Israel,Haatz,Sia'at Ha'Atzma'ut,Sia'at Ha'Atzma'ut,Independence,soc,Social democracy,3.3,3.5,3.5,,,,,,,,,,34,2043,11
ISR,Israel,Hat,The Movement,Hatnuah,Hatnuah,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2320,6
ISR,Israel,He-TnLe,Herut -- The National Movement,Herut – HaTnu'a HaLeumit,Herut -- HaTnu'a HaLeumit,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,2361,40
ISR,Israel,Herut,Freedom Party,Herut,Herut,con,Conservative,7.4,6.4,7.0,,72620,,,,,,,,34,1204,26
ISR,Israel,KL,Blue and White,Kahol Lavan,Kahol Lavan,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2725,6
ISR,Israel,KP,Progress and Development,Kidma vePituah,Kidma vePituah,spec,Special issue,,,,,,,,,,,,,34,1838,16
ISR,Israel,Kach,Thus,Kach,Kach,right,Right-wing,8.8,5.9,8.5,,,,,,,,,,34,1969,40
ISR,Israel,Kadima,Forward,Kadima,Kadima,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,1870,6
ISR,Israel,KiVe,Progress and Work,Kidma Ve'avoda,Kidma Ve'avoda,spec,Special issue,,,,,,,,,,,,,34,1834,16
ISR,Israel,Kulanu,All of Us,Kulanu,Kulanu,lib,Liberal,6.0,6.7,3.6,,,,,,,,,,34,2410,6
ISR,Israel,L,The Consolidation,Likud,Likud,con,Conservative,6.6788,7.4912,6.0,,72622,,,,,,6488,,34,678,26
ISR,Israel,LA,Independent Liberals,Libralim Atzma'im,Libralim Atzma'im,lib,Liberal,6.0,6.7,3.6,,72410,,,,,,,,34,188,6
ISR,Israel,M,Homeland,Moledet,Moledet,con,Conservative,7.4,6.4,7.0,,72615,,,,,,,,34,980,26
