id,election_id,party_id,alliance_id,seats,vote_share,votes,data_source,description,comment
7294,791,1465,,0,3.86,28646,izbori,Electoral alliance with Croatian Social Liberal Party (Hrvatska socijalno liberalna stranka).,
7296,791,1627,,0,3.84,28445,izbori,"Electoral list ""Ivan Jakovčić"" (Kandidacijska lista grupe birača ""Ivan Jakovčić"")",
7297,791,2135,,0,3.01,22328,izbori,Electoral alliance with Croatian Democratic Alliance of Dalmatia (Hrvatski Demokratski Slobodarski Saves Dalmacije) and Croatian Green (Zeleni Hrvatske),
7300,791,2185,,0,2.55,18893,izbori,,
7301,791,2186,,0,1.49,11068,izbori,,
7303,791,1044,,0,1.39,10317,izbori,,
7304,791,2188,,0,1.16,8599,izbori,,
7305,791,2190,,0,1.13,8345,izbori,,
7306,789,67,,,,,mdi,,
7307,111,67,,,,,"archivio, mdi",,
7308,789,1278,7177,,,,,,"4 MPs elected on PD list.
Source is unclear."
7309,792,2191,,3,,,,,
7310,792,1493,,61,41.08,958318,izbori,Electoral alliance: Kukuriku coalition (Kukuriku koalicija),
7311,792,1384,7310,13,,,izbori,,
7312,792,1627,7310,3,,,izbori,,
7313,792,2134,7310,3,,,izbori,,
7314,792,276,,41,23.5,548199,izbori,,
7315,792,2193,7314,2,,,izbori,,
7316,792,1081,7314,1,,,,,
7317,792,2182,,6,4.19,97701,izbori,,
7318,792,2135,,6,2.96,68995,izbori,,
7319,792,2195,,2,1.25,29088,izbori,,
7320,792,2181,,1,0.64,14938,izbori,Electoral alliance with Croatian Pure Party of Rights (Hrvatska čista stranka prava),
7321,792,1465,,1,0.64,14854,izbori,,
7322,792,2192,,5,,,,,
7323,792,1044,,0,3.0,72360,,,
7324,793,276,,66,35.9,907743,es,,
7325,793,1493,,56,30.8,776690,es,,
7326,793,1384,,7,6.7,168440,es,,
7327,793,1465,,6,6.4,161814,es,,
7328,793,1102,7327,2,,,es,,
7329,793,1044,,1,3.4,86865,es,,
7330,793,2134,,1,4.0,101091,es,,
7331,793,1627,7334,3,1.5,38267,es,,
7332,793,2135,,3,1.8,44552,es,,
7333,793,2133,7334,3,1.5,38271,es,,
7334,793,2192,,4,,,es,,
7335,167,2194,,1,0.54,9661,nos-sv,"Joint electoral list: Høyre (Conservative Party, 1 seat) and Bondepartiet (Farmer's Party)",
7336,795,276,,66,33.2,800503,no-2010,,
7337,795,1493,,34,23.3,560593,no-2010,,
7338,795,1627,7337,4,,,no-2010,,
7339,795,1457,7337,2,,,no-2010,,
7340,795,90,7337,3,,,no-2010,,
7341,795,1384,,10,8.3,198781,no-2010,,
7342,795,2196,7341,1,,,no-2010,,
7343,795,1465,,10,7.3,174960,no-2010,,
7344,795,1044,,8,6.5,155588,no-2010,Electoral alliance with Medimurje Party (Međimurska stranka) ,
7345,795,1102,,2,4.1,99467,no-2010,,
7347,795,2134,,3,4.1,98299,no-2010,,
7348,795,2197,,4,2.3,56080,no-2010,,
7349,795,316,,0,1.3,31171,no-2010,Electoral alliance with Croatian True Revival (Hrvatski Istinski Preporod),
7350,795,2198,,1,1.0,23787,no-2010,,
7351,795,2133,7371,3,,,no-2010,,
7352,792,1102,,0,3.0,71077,,,
7353,792,2196,,0,2.8,66239,,Electoral alliance with Bloc Pensioners Together (Blok Umirovljenici Zajedno) and Croatian Labour Party (Hrvatska Radnička Stranka),
7354,797,276,,46,24.4,676264,no-2010,,
7355,797,2199,,0,1.1,29445,no-2010,,
7356,797,1493,,44,40.8,1133136,no-2010,,
7357,797,1102,7356,24,,,no-2010,,
7358,797,2196,7356,2,,,no-2010,,
7359,797,2295,7356,1,,,no-2010,Slavonia-Baranja Croatian Party (Slavonsko-baranjska hrvatska stranka),
7360,797,1465,,17,15.6,431484,no-2010,,
7361,797,1384,7360,2,,,no-2010,,
7362,797,1457,7360,2,,,no-2010,,
7363,797,1627,7360,4,,,no-2010,,
7364,797,1044,,5,5.3,146496,no-2010,Electoral alliance with Croatian Christian Democratic Union (Hrvatska kršćanska demokratska unija) winning 1 seat.,
7366,797,2134,,0,1.9,52717,no-2010,,
7367,797,2202,,0,1.4,39867,no-2010,,
7368,797,2203,,0,1.4,39348,no-2010,,
7369,797,2192,,1,,,no-2010,,
7370,797,2197,,3,0.7,18319,no-2010,,
7371,795,2192,,,,,,,
7372,292,2085,,1,0.2,11380,clea,,
7373,633,441,,5,,,essex,,
7374,63,440,736,4,,,,,
7375,39,440,3248,10,,,,,
7376,798,1342,,19,26.7,50455,lis,,
7377,798,1455,,19,24.43,46173,lis,,
7378,798,1006,,9,12.85,24294,lis,,
7379,798,210,,7,10.87,20546,lis,,
7380,798,2204,,6,8.25,15584,lis,,
7381,798,2205,,3,5.1,9648,lis,,
7382,798,2206,,0,3.1,5855,lis,,
7383,798,2207,,0,3.02,5707,lis,,
7384,798,2208,,0,2.46,4658,lis,,
7385,798,2209,,0,1.73,3262,lis,,
7386,798,2210,,0,1.07,2021,lis,,
7387,799,1541,,97,30.535,1081605,cik,,
7388,799,1160,,84,26.609,942541,cik,,
7389,799,1286,,36,11.306,400466,cik,,
7390,799,535,,23,7.297,258481,cik,,
7391,799,2211,,0,3.703,131169,cik,,
7392,799,2595,,0,1.626,57611,cik,,
7393,799,423,,0,1.374,48681,cik,,
7394,799,636,,0,1.67,59145,cik,,
7395,799,2212,,0,1.886,66803,cik,,
7396,799,566,,0,1.736,61482,cik,,
7397,799,57,,0,2.926,103638,cik,,
7398,799,2213,,0,3.252,115190,cik,,
7399,799,2214,,0,1.339,47419,cik,,
7400,469,2216,,0,0.39,4797,gall-09,Irish Housewives' Association,
7401,584,433,,0,0.15,1990,gall-09,,
7402,515,2216,,0,0.02,295,gall-09,Irish Workers' League,
7403,60,2216,,0,0.02,323,gall-09,Ailtirí na hAiséirghe,
7404,341,1251,7061,,,,verk,,
7405,341,625,7061,,,,verk,,
7406,341,212,7061,,,,verk,,
7407,587,625,7084,,,,verk,,
7408,587,212,7084,,,,verk,,
7409,587,1251,7084,,,,verk,,
7411,567,1123,6856,,,,,,
7412,413,2216,,0,0.1,1132,gall-09,Christian Democratic Party,
7413,323,2216,,0,0.01,183,,Irish Workers' Party,
7414,641,2216,,0,0.02,242,gall-09,Irish Workers' Party,
7415,283,433,,0,1.14,15366,gall-09,,
7416,6,433,,0,1.7,27209,gall-09,,
7417,228,2217,,0,1.01,16894,gall-09,,
7418,307,2216,,0,0.42,7012,gall-09,Democratic Socialist Party,
7419,43,2217,,0,1.85,32933,gall-09,,
7420,590,2217,,0,1.21,20003,gall-09,,
7422,359,2217,,0,1.61,27809,gall-09,,
7423,316,2218,,0,1.07,19077,gall-09,,
7424,408,2216,,0,0.26,4741,eie,Comhar Críostaí - The Christian Solidarity Party,
