id,party_id,type_id
479,1431,11
480,1246,27
483,473,27
484,473,9
485,1030,9
486,1727,27
489,465,27
490,1080,9
491,927,9
492,502,37
493,448,9
494,677,9
495,900,17
497,425,17
498,2191,84
499,2192,17
500,2194,27
501,2195,88
502,2196,9
505,2207,27
508,585,17
509,2206,6
512,1428,27
513,1131,39
514,41,9
515,1718,27
517,66,9
518,215,9
520,1964,27
523,2143,25
524,2077,67
525,1620,17
527,114,17
528,1972,17
529,952,101
530,474,101
532,802,9
533,1771,27
534,2019,9
535,65,17
536,199,17
537,559,17
538,1627,9
540,1059,17
541,1059,9
544,2030,88
545,2029,88
546,2031,88
549,19,39
553,948,17
554,254,17
556,974,9
557,974,89
558,335,9
559,1028,39
560,1028,9
561,55,9
562,1560,39
563,436,9
565,721,91
566,2205,91
567,2190,91
568,865,91
574,180,27
575,1710,27
578,1113,27
580,969,17
581,1335,6
582,1335,27
584,411,9
585,1657,27
586,520,9
587,520,14
588,1367,9
589,1367,19
590,234,9
591,234,6
592,2172,9
596,771,27
597,771,22
598,757,11
599,757,89
603,845,67
604,845,11
611,681,27
612,681,14
613,121,27
614,121,22
615,385,27
616,385,9
617,385,22
618,1221,9
619,1221,40
620,1361,9
621,370,9
622,1407,27
626,1496,6
627,2062,9
628,2147,27
629,2147,42
635,1261,38
636,77,37
637,2220,16
638,2220,40
645,2238,39
646,2209,42
648,2241,14
649,987,25
650,1043,39
651,546,3
652,2246,17
653,2247,17
654,2248,17
655,2250,27
656,2251,27
658,2256,91
659,2261,91
661,2262,25
663,2263,25
664,363,16
666,2264,27
668,1462,94
669,202,94
670,2146,42
672,425,95
674,900,95
675,1634,95
677,66,27
678,66,95
679,199,95
680,65,95
681,363,26
682,1636,96
683,1392,96
684,677,96
685,1911,96
688,2162,96
692,1208,89
693,500,97
694,1199,97
695,1671,97
696,1272,42
697,1590,17
699,2270,17
700,2249,98
701,2276,90
708,2279,14
709,2279,3
710,2280,6
718,2277,90
719,2279,27
721,2080,80
722,2279,81
723,2284,11
724,2284,3
725,1048,27
726,2169,9
728,2288,101
729,2293,25
730,2294,101
731,2295,101
732,791,36
733,2296,101
734,2297,101
735,2298,101
736,2299,101
737,2300,101
738,806,80
739,1109,80
740,135,27
743,2172,27
744,1891,95
746,74,95
747,1892,95
748,1894,95
749,2252,42
750,2302,101
751,2303,101
752,2305,17
753,2194,102
754,2075,103
755,596,103
757,2150,103
758,2259,103
760,1122,63
763,2305,22
764,1647,103
765,2308,80
766,2309,101
767,2310,38
768,2237,42
769,1846,17
770,2311,17
771,1837,63
772,1837,27
773,788,63
776,31,63
777,349,17
778,349,27
779,332,17
780,1202,39
781,1202,36
782,2316,80
783,1720,42
784,574,82
785,1218,27
787,1613,27
788,1824,17
789,1873,37
790,2327,88
791,2328,88
793,62,27
794,118,27
795,2330,9
796,2207,42
797,2329,88
798,2338,91
799,2340,27
800,2340,42
801,2343,88
802,2344,88
803,2345,88
804,1691,70
805,2353,17
806,2354,63
809,2324,63
810,1845,103
811,1303,27
812,2323,6
813,1835,17
814,1821,27
815,1834,17
816,1829,17
817,1839,17
818,73,6
819,73,103
820,1867,63
821,1838,17
822,805,17
823,1323,67
824,1235,16
825,1268,27
826,1750,42
827,1150,17
828,1447,81
829,1130,37
830,2357,17
831,2029,19
832,1400,42
833,2061,42
834,1454,42
835,2103,103
836,1543,27
837,627,27
838,1355,27
839,313,27
840,2334,27
841,2036,27
842,466,27
843,811,103
845,2267,97
846,1064,27
847,890,27
848,652,101
849,441,101
850,15,27
851,1920,9
852,2363,27
854,2368,25
855,2371,25
856,2369,88
857,2370,88
858,2326,88
859,2374,11
860,2374,19
861,2381,79
862,2387,42
863,2383,88
864,2392,26
866,2399,42
868,2400,27
869,2400,90
871,2385,82
872,2394,88
873,2402,37
874,2404,22
875,2405,80
877,1727,118
878,1030,17
879,1967,88
880,255,27
881,2413,101
882,2412,91
883,2414,8
884,894,9
885,2214,39
888,2544,119
889,2463,8
890,2470,63
891,2432,8
892,2433,3
893,2562,80
894,2424,9
895,2517,102
897,2597,25
898,2571,17
899,2574,9
900,2575,9
901,2575,95
902,2574,95
903,2603,67
904,2603,14
905,2605,67
906,2605,9
907,2604,27
908,2606,27
909,2607,27
910,2607,19
911,894,27
913,2612,39
914,2614,9
915,2001,102
916,2623,25
917,2623,22
918,2622,102
919,2593,26
920,2627,79
921,2222,70
922,2073,82
923,82,37
924,1806,98
925,2074,98
926,2425,22
927,1657,22
928,1657,9
929,2369,19
930,2329,6
931,2327,2
932,2394,6
933,2383,6
934,1967,19
935,2195,63
936,2272,102
937,2633,6
938,2633,19
939,2634,26
940,2636,80
941,1752,88
945,2648,22
946,2649,70
947,2652,39
948,2655,25
953,2671,90
954,2671,91
959,2660,70
962,2681,2
965,2684,8
966,2686,101
967,2689,17
968,2689,27
969,2695,8
970,2697,9
971,2675,22
972,2674,22
973,2672,22
974,2673,22
975,2701,9
976,2696,9
977,2699,27
982,2695,41
984,2713,118
987,649,41
989,2719,102
990,2723,27
991,2723,9
992,2724,27
993,2725,27
994,2726,27
1002,2729,40
1003,2729,25
1004,2730,42
1007,2380,22
1008,2380,25
1010,2733,79
1016,2155,25
1025,2742,82
1026,2742,42
1029,2744,22
1030,2745,25
1031,2745,26
1032,2746,11
1033,2746,42
1040,2735,42
1051,2763,42
1052,2766,42
1056,2776,27
1059,1295,27
1074,2792,89
1075,2792,9
1077,2794,42
1078,921,40
1079,921,22
1080,921,25
1081,2784,17
1083,2779,70
1084,2771,98
1085,2367,17
1086,2367,25
1087,2774,88
1088,2769,88
1089,2768,88
1090,2749,88
1091,2748,88
1092,2747,88
1093,2738,88
1094,2710,98
1095,2604,9
1096,363,22
1097,2450,25
1107,2155,19
1111,2821,25
1123,2024,9
1142,2847,27
1147,2253,25
1148,2632,25
1150,265,26
1151,2322,17
1153,732,19
1154,2654,25
1155,2850,17
1157,1541,25
1160,2263,103
1161,2831,123
1163,2859,101
1165,2864,80
1166,2869,42
1167,2875,25
1168,2878,27
1170,2881,25
1171,2882,25
1172,2885,25
1173,2885,123
1174,2885,22
1175,2886,123
1176,2819,124
1177,2853,124
1178,2890,9
1179,2891,9
1180,2897,63
1181,2892,17
1182,2416,17
