election_id,turnout,enp_votes,enp_seats,disproportionality,advantage_ratio,polarization_vote,polarization_seats,calculation_date
409,87.96,5.230727384950152,5.416906170752324,1.0381369000348686,1.0569228446323418,0.4698993745316118,0.469917252917941,2023-11-04 21:48:06
410,33.62,6.248302804750661,4.712727272727273,7.6153486176209455,2.6205450733752618,0.46395666340138814,0.4529419123174481,2023-11-04 21:48:06
412,86.83,3.640772280616164,3.504157196697258,1.1277404614768374,1.0482912852051158,0.4375100310093972,0.4354835195304307,2023-11-04 21:48:06
413,70.61,3.239811634759706,2.7983805668016193,3.4578906008443093,1.417233560090703,0.24912486984860513,0.25596877758730074,2023-11-04 21:48:06
414,63.61,3.8472047249213994,3.813559322033899,10.080807397117445,1.8416206261510126,0.2967584061513581,0.2726117969000364,2023-11-04 21:48:06
415,56.7,3.913677885446101,2.876370013152126,7.316218906237096,1.1899449650453666,0.5600963929604885,0.5744691628563187,2023-11-04 21:48:06
416,76.29,6.966961256820415,5.836520604326658,6.153817857048679,1.2540515511653034,0.25389342025139494,0.2503486447845948,2023-11-04 21:48:06
417,45.19,3.7568139212496674,3.1383285302593658,4.296883680807662,1.1051995784820214,0.35776397618844846,0.354833141855831,2023-11-04 21:48:06
418,92.71,9.80863259716603,8.413328341445151,3.4808347497917467,1.2229210342417889,0.41100384943135365,0.39873938895281513,2023-11-04 21:48:06
419,89.71,2.386637180241632,1.9716088328075707,7.293692480492994,1.1693464188765923,0.18071028212686518,0.15860122020211573,2023-11-04 21:48:06
420,95.09,5.652653380933951,5.241894098437136,2.4621624463922664,1.1611030478955007,0.36600042863853055,0.35559027962867096,2023-11-04 21:48:06
421,93.44,2.3038774764782173,1.998750780762024,6.3790124627562825,1.102691698710699,0.21510044620185137,0.22362809646697895,2023-11-04 21:48:06
423,58.24,5.431978054808658,4.672927164452587,3.443003999636879,1.1269419624889319,0.41942903355764494,0.41787403650993793,2023-11-04 21:48:06
424,80.3,3.1914431536794448,2.6469036221778297,7.453398214560941,1.1668083720761953,0.3607836411245543,0.33325687481433725,2023-11-04 21:48:06
425,92.34,3.0819179650761366,2.6873953599617315,4.107418773614894,1.091157081154808,0.3693736581865036,0.37278490536680753,2023-11-04 21:48:06
427,43.3,5.870947761774553,5.17196793379881,3.0905096667054774,1.6666666666666667,0.4736519891339073,0.46799987329972914,2023-11-04 21:48:06
428,85.96,3.921630143217932,3.6650618361267417,2.4327625941763493,1.0649897304561706,0.3925557259773029,0.39266807030748446,2023-11-04 21:48:06
